time,value
0.000000,0.000000
0.100000,0.487706
0.200000,0.951626
0.300000,1.392920
0.400000,1.812692
0.500000,2.211992
0.600000,2.591818
0.700000,2.953119
0.800000,3.296800
0.900000,3.623718
1.000000,3.934693
1.100000,4.230502
1.200000,4.511884
1.300000,4.779542
1.400000,5.034147
1.500000,5.276334
1.600000,5.506710
1.700000,5.725851
1.800000,5.934303
1.900000,6.132590
2.000000,6.321206
2.100000,6.500623
2.200000,6.671289
2.300000,6.833632
2.400000,6.988058
2.500000,7.134952
2.600000,7.274682
2.700000,7.407597
2.800000,7.534030
2.900000,7.654297
3.000000,7.768698
3.100000,7.877520
3.200000,7.981035
3.300000,8.079501
3.400000,8.173165
3.500000,8.262261
3.600000,8.347011
3.700000,8.427628
3.800000,8.504314
3.900000,8.577259
4.000000,8.646647
4.100000,8.712651
4.200000,8.775436
4.300000,8.835158
4.400000,8.891968
4.500000,8.946008
4.600000,8.997412
4.700000,9.046308
4.800000,9.092820
4.900000,9.137064
5.000000,9.179150
5.100000,9.219183
5.200000,9.257264
5.300000,9.293488
5.400000,9.327945
5.500000,9.360721
5.600000,9.391899
5.700000,9.421557
5.800000,9.449768
5.900000,9.476603
6.000000,9.502129
6.100000,9.526411
6.200000,9.549508
6.300000,9.571479
6.400000,9.592378
6.500000,9.612258
6.600000,9.631168
6.700000,9.649156
6.800000,9.666267
6.900000,9.682544
7.000000,9.698026
7.100000,9.712754
7.200000,9.726763
7.300000,9.740089
7.400000,9.752765
7.500000,9.764823
7.600000,9.776292
7.700000,9.787203
7.800000,9.797581
7.900000,9.807453
8.000000,9.816844
8.100000,9.825776
8.200000,9.834273
8.300000,9.842356
8.400000,9.850044
8.500000,9.857358
8.600000,9.864314
8.700000,9.870932
8.800000,9.877227
8.900000,9.883214
9.000000,9.888910
9.100000,9.894328
9.200000,9.899482
9.300000,9.904384
9.400000,9.909047
9.500000,9.913483
9.600000,9.917703
9.700000,9.921716
9.800000,9.925534
9.900000,9.929166
10.000000,9.932621
